NOMBRE,PAIS,MANO_DOMINANTE,TIPO_REVES,GANANCIAS,FECHA_NACIMIENTO
Novak Djokovic,Serbia,DIESTRO,DOS_MANOS,148545000,1987-05-22
Rafael Nadal,España,ZURDO,DOS_MANOS,124451957,1986-06-03
Roger Federer,Suiza,DIESTRO,UNA_MANO,130578246,1981-08-08
Dominic Thiem,Austria,DIESTRO,UNA_MANO,28903117,1993-09-03
Alexander Zverev,Alemania,DIESTRO,DOS_MANOS,22178326,1997-04-20
Stefanos Tsitsipas,Grecia,DIESTRO,UNA_MANO,11246465,1998-08-12
Daniil Medvedev,Rusia,DIESTRO,DOS_MANOS,10402504,1996-02-11
Andrey Rublev,Rusia,DIESTRO,DOS_MANOS,7000458,1997-10-20
Matteo Berrettini,Italia,DIESTRO,DOS_MANOS,6481672,1996-04-12
Diego Schwartzman,Argentina,DIESTRO,DOS_MANOS,6600625,1992-08-16
Gael Monfils,Francia,DIESTRO,DOS_MANOS,17383988,1986-09-01
Denis Shapovalov,Canadá,ZURDO,UNA_MANO,6202843,1999-04-15
Karen Khachanov,Rusia,DIESTRO,DOS_MANOS,5901012,1996-05-21
Felix Auger-Aliassime,Canadá,DIESTRO,DOS_MANOS,5745812,2000-08-08
Roberto Bautista Agut,España,DIESTRO,DOS_MANOS,12528102,1988-04-14
Pablo Carreño Busta,España,DIESTRO,DOS_MANOS,8318625,1991-07-12
Grigor Dimitrov,Bulgaria,DIESTRO,UNA_MANO,18673212,1991-05-16
Fabio Fognini,Italia,DIESTRO,DOS_MANOS,10601342,1987-05-24
David Goffin,Bélgica,DIESTRO,DOS_MANOS,10568791,1990-12-07
John Isner,Estados Unidos,DIESTRO,DOS_MANOS,15652555,1985-04-26
